# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91  of event 'cpu_core/cache-misses/'
# Event count (approx.): 602453
#
# Overhead,Command        ,Shared Object       ,Symbol                             
 0.62%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] perf_adjust_freq_unthr_context
 0.58%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_mc_enhanced_fast_string
 0.30%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __count_memcg_events
 0.25%  ,bc             ,[kernel.kallsyms]   ,[k] next_uptodate_folio
 0.23%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] preempt_model_full
 0.23%  ,bc             ,[kernel.kallsyms]   ,[k] mas_next_node
 0.23%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] free_swap_cache
 0.22%  ,bc             ,[kernel.kallsyms]   ,[k] perf_iterate_ctx
 0.22%  ,bc             ,ld-linux-x86-64.so.2,[.] do_lookup_x
 0.22%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] flush_tlb_mm_range
 0.22%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __call_rcu_common
 0.22%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __memcpy
 0.22%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mas_walk
 0.22%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_event_mmap_output
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] _raw_spin_lock
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] anon_pipe_buf_release
 0.19%  ,bc             ,ld-linux-x86-64.so.2,[.] strcmp
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] down_write
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mksaveddirty_shift
 0.19%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] rmqueue
 0.18%  ,run_benchmark.s,bash                ,[.] make_child
 0.18%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] get_page_from_freelist
 0.17%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] rb_next
 0.16%  ,run_benchmark.s,libc.so.6           ,[.] _int_free
 0.15%  ,bc             ,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] update_sg_wakeup_stats
 0.14%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] update_curr
 0.14%  ,bc             ,[kernel.kallsyms]   ,[k] __call_rcu_common
 0.11%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] mas_next_node
 0.09%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] trigger_load_balance
 0.08%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] timekeeping_advance
 0.06%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] tick_sched_do_timer
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] perf_pmu_nop_void
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] update_cfs_group
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __hrtimer_run_queues
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] vma_interval_tree_remove
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] down_write
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __tlb_remove_page_size
 0.05%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] get_pfnblock_flags_mask
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] account_user_time
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] cgroup_rstat_updated
 0.04%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] __mod_zone_page_state
